label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Fenster,1538,1183,709,352,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,1122,1806,233,291,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,1723,1798,229,293,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,2252,1797,241,302,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,1133,2445,239,263,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,1752,2438,241,272,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,2284,2430,220,280,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,2787,2333,162,265,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,2797,1805,147,241,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,3080,1559,106,157,21171 Pläne Kirchweg 3 FL_page10.jpg,4961,3508
Fenster,2748,915,369,186,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Fenster,3341,920,116,191,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Fenster,1415,1514,238,444,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Fenster,2012,1519,227,292,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Fenster,1118,2139,207,292,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Tür,1598,2149,212,439,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Fenster,2009,2124,114,176,21171 Pläne Kirchweg 3 FL_page11.jpg,4961,3508
Fenster,1209,829,853,349,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,1091,1601,171,252,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,1584,1604,185,252,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,2303,1514,215,295,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,3119,1524,242,279,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,3139,2165,211,252,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,1521,2112,369,269,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,937,2112,356,269,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,2254,2091,269,176,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,1036,2573,150,83,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
Fenster,1630,2575,150,81,21171 Pläne Kirchweg 3 FL_page9.jpg,4961,3508
