label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Wand,1902,1509,1159,322,25010 page2.jpg,4963,3509
Tür,2319,1586,132,243,25010 page2.jpg,4963,3509
Fenster,2012,1570,161,103,25010 page2.jpg,4963,3509
Fenster,2806,1561,158,161,25010 page2.jpg,4963,3509
Fenster,2010,1256,279,196,25010 page2.jpg,4963,3509
Fenster,2689,1256,274,196,25010 page2.jpg,4963,3509
Fenster,2687,892,283,248,25010 page2.jpg,4963,3509
Fenster,2435,893,138,86,25010 page2.jpg,4963,3509
Fenster,2009,912,285,199,25010 page2.jpg,4963,3509
Fenster,2197,1880,170,251,25010 page3.jpg,4959,3509
Tür,2368,1879,119,250,25010 page3.jpg,4959,3509
Fenster,1525,1575,494,247,25010 page3.jpg,4959,3509
Fenster,2250,1562,166,153,25010 page3.jpg,4959,3509
Fenster,2562,1563,166,156,25010 page3.jpg,4959,3509
Fenster,2403,1235,137,271,25010 page3.jpg,4959,3509
Fenster,2404,893,133,266,25010 page3.jpg,4959,3509
Fenster,2054,905,120,80,25010 page3.jpg,4959,3509
Tür,980,1906,438,258,25010 page3.jpg,4959,3509
Tür,1476,1904,440,259,25010 page3.jpg,4959,3509
Wand,2021,1512,1039,323,25010 page3.jpg,4959,3509
Wand,1506,1505,515,328,25010 page3.jpg,4959,3509
Wand,901,1832,1122,334,25010 page3.jpg,4959,3509
Wand,1760,1514,1161,320,25010 page4.jpg,4963,3509
Fenster,1876,907,130,248,25010 page4.jpg,4963,3509
Fenster,2525,894,285,242,25010 page4.jpg,4963,3509
Fenster,1871,1234,133,162,25010 page4.jpg,4963,3509
Fenster,2198,1236,137,164,25010 page4.jpg,4963,3509
Fenster,2679,1237,131,266,25010 page4.jpg,4963,3509
Fenster,1784,1576,493,253,25010 page4.jpg,4963,3509
Fenster,2414,1582,140,149,25010 page4.jpg,4963,3509
Fenster,2655,1583,143,152,25010 page4.jpg,4963,3509
